id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
67,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1192.3,1192.79,1193.5,1193.93,0.99,1.03632,1.03632,1.2,1.2,1,1.8,4.12,1.98,1.03688,2017-04-07D00:07:50.328320000,2017-04-07D00:05:41.836592000,1
68,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1192.3,1192.89,1193.5,1193.93,0.99,1.03632,1.03632,1.2,1.2,1,1.8,4.92,1.98,1.03688,2017-04-07D00:08:08.859914000,2017-04-07D00:05:41.836592000,1
69,1190.7,2,1190.7,1189.87,1189.57,1189.15,1188.99,1191.3,1192.3,1192.99,1193.5,1193.93,0.99,1.03632,1.03632,1.2,1.2,1,1.8,4.2,1.98,1.03688,2017-04-07D00:08:18.293889000,2017-04-07D00:05:41.836592000,1
70,1190.7,2,1190.7,1189.87,1189.62,1189.57,1189.03,1191.3,1192.3,1192.99,1193.5,1193.93,0.99,1.03632,1.2,1.03632,1.2,1,1.8,4.2,1.98,1.03688,2017-04-07D00:09:00.203749000,2017-04-07D00:05:41.836592000,1
71,1190.7,2,1190.76,1190.7,1189.62,1189.03,1189,1191.3,1192.3,1192.99,1193.5,1193.97,1.03553,0.99,1.2,1.2,1.2,1,1.8,4.2,1.98,1.03632,2017-04-07D00:09:09.260447000,2017-04-07D00:05:41.836592000,1
72,1190.7,2,1190.76,1190.7,1190.55,1189.62,1189.03,1191.3,1192.3,1192.99,1193.5,1194.22,1.03553,0.99,1.03553,1.2,1.2,1,1.8,4.2,1.98,1.03688,2017-04-07D00:09:10.317358000,2017-04-07D00:05:41.836592000,1
73,1190.7,2,1190.76,1190.7,1190.55,1190.24,1189.62,1191.3,1192.3,1192.99,1193.5,1194.89,1.03553,0.99,1.03553,1.03547,1.2,1,1.8,4.2,1.98,1.03682,2017-04-07D00:09:30.705408000,2017-04-07D00:05:41.836592000,1
74,1190.7,2,1190.76,1190.7,1190.55,1190.24,1189.99,1191.3,1192.3,1192.99,1193.5,1194.89,1.03553,0.99,1.03553,1.03547,1.2,1,1.8,4.2,1.98,1.03682,2017-04-07D00:09:35.968151000,2017-04-07D00:05:41.836592000,1
75,1190.7,2,1190.76,1190.7,1190.55,1190.24,1189.99,1191.3,1192.3,1192.99,1193.5,1194.95,1.03553,0.99,1.03553,1.03547,1.2,1,1.8,4.2,1.98,1.03553,2017-04-07D00:09:41.944253000,2017-04-07D00:05:41.836592000,1
76,1190.7,2,1190.76,1190.7,1190.55,1190.42,1190.24,1191.3,1192.3,1192.99,1193.5,1194.95,1.03553,0.99,1.03553,1.2,1.03547,1,1.8,4.2,1.98,1.03553,2017-04-07D00:11:14.807479000,2017-04-07D00:05:41.836592000,1
77,1190.7,2,1190.76,1190.7,1190.55,1190.42,1190.24,1191.3,1192.3,1192.99,1193.5,1194.95,1.03553,1.105,1.03553,1.2,1.03547,0.885,1.8,4.2,1.98,1.03553,2017-04-07D00:11:36.030329000,2017-04-07D00:05:41.836592000,1
78,1191.3,0.23,1190.76,1190.7,1190.55,1190.42,1190.24,1191.3,1192.3,1192.99,1193.5,1194.95,1.03553,1.105,1.03553,1.2,1.03547,0.885,1.8,4.2,1.98,1.03553,2017-04-07D00:11:36.030329000,2017-04-07D00:11:38.784439000,2
79,1191.3,0.23,1190.76,1190.7,1190.55,1190.42,1190.24,1191.3,1192.3,1193.5,1194.95,1195,1.03553,1.105,1.03553,1.2,1.03547,0.885,1.8,1.98,1.03553,1.97,2017-04-07D00:12:08.493082000,2017-04-07D00:11:38.784439000,1
80,1191.3,0.23,1190.76,1190.7,1190.55,1190.42,1190.24,1191.3,1192.3,1193.5,1193.69,1194.95,1.03553,1.105,1.03553,1.2,1.03547,0.885,1.8,1.98,4.86,1.03553,2017-04-07D00:12:11.974047000,2017-04-07D00:11:38.784439000,1
81,1191.3,0.23,1191.29,1190.7,1190.42,1190.24,1190.11,1191.3,1192.3,1193.5,1193.69,1195,1.03479,1.105,1.2,1.03547,1.2,0.885,1.8,1.98,4.86,1.97,2017-04-07D00:12:30.670414000,2017-04-07D00:11:38.784439000,1
